year,asset_group,PF_symbol,direction_label,leadership_state,leadership_30m,branch,failure_state,event_count
2023,alt,PF_AAVEUSD,negative,simultaneous,simultaneous,simultaneous_impulse,not_applicable,5
2023,alt,PF_AAVEUSD,negative,spot_led,simultaneous,spot_led_continuation,not_applicable,1
2023,alt,PF_AAVEUSD,negative,spot_led,spot_led,spot_led_continuation,not_applicable,2
2023,alt,PF_AAVEUSD,positive,simultaneous,simultaneous,simultaneous_impulse,not_applicable,3
2023,alt,PF_AAVEUSD,positive,simultaneous,spot_led,simultaneous_impulse,not_applicable,1
2023,alt,PF_ADAUSD,negative,ambiguous,ambiguous,ambiguous_diagnostic,not_applicable,1
2023,alt,PF_ADAUSD,negative,ambiguous,perp_led,ambiguous_diagnostic,not_applicable,1
2023,alt,PF_ADAUSD,negative,ambiguous,simultaneous,ambiguous_diagnostic,not_applicable,1
2023,alt,PF_ADAUSD,negative,perp_led,perp_led,perp_led_continuation,confirmed,9
2023,alt,PF_ADAUSD,negative,perp_led,perp_led,perp_led_continuation,unconfirmed,16
2023,alt,PF_ADAUSD,negative,perp_led,simultaneous,perp_led_continuation,unconfirmed,1
2023,alt,PF_ADAUSD,negative,perp_led,spot_led,perp_led_continuation,unconfirmed,2
2023,alt,PF_ADAUSD,negative,simultaneous,perp_led,simultaneous_impulse,not_applicable,4
2023,alt,PF_ADAUSD,negative,simultaneous,simultaneous,simultaneous_impulse,not_applicable,151
2023,alt,PF_ADAUSD,negative,simultaneous,spot_led,simultaneous_impulse,not_applicable,9
2023,alt,PF_ADAUSD,negative,spot_led,perp_led,spot_led_continuation,not_applicable,2
2023,alt,PF_ADAUSD,negative,spot_led,spot_led,spot_led_continuation,not_applicable,31
2023,alt,PF_ADAUSD,positive,ambiguous,simultaneous,ambiguous_diagnostic,not_applicable,4
2023,alt,PF_ADAUSD,positive,ambiguous,spot_led,ambiguous_diagnostic,not_applicable,2
2023,alt,PF_ADAUSD,positive,perp_led,perp_led,perp_led_continuation,confirmed,8
2023,alt,PF_ADAUSD,positive,perp_led,perp_led,perp_led_continuation,unconfirmed,7
2023,alt,PF_ADAUSD,positive,perp_led,spot_led,perp_led_continuation,unconfirmed,4
2023,alt,PF_ADAUSD,positive,simultaneous,perp_led,simultaneous_impulse,not_applicable,6
2023,alt,PF_ADAUSD,positive,simultaneous,simultaneous,simultaneous_impulse,not_applicable,128
2023,alt,PF_ADAUSD,positive,simultaneous,spot_led,simultaneous_impulse,not_applicable,10
2023,alt,PF_ADAUSD,positive,spot_led,perp_led,spot_led_continuation,not_applicable,1
2023,alt,PF_ADAUSD,positive,spot_led,simultaneous,spot_led_continuation,not_applicable,4
2023,alt,PF_ADAUSD,positive,spot_led,spot_led,spot_led_continuation,not_applicable,32
2023,alt,PF_ALGOUSD,negative,ambiguous,simultaneous,ambiguous_diagnostic,not_applicable,1
2023,alt,PF_ALGOUSD,negative,ambiguous,spot_led,ambiguous_diagnostic,not_applicable,2
2023,alt,PF_ALGOUSD,negative,perp_led,perp_led,perp_led_continuation,confirmed,2
2023,alt,PF_ALGOUSD,negative,perp_led,perp_led,perp_led_continuation,unconfirmed,2
2023,alt,PF_ALGOUSD,negative,perp_led,spot_led,perp_led_continuation,unconfirmed,3
2023,alt,PF_ALGOUSD,negative,simultaneous,simultaneous,simultaneous_impulse,not_applicable,35
2023,alt,PF_ALGOUSD,negative,simultaneous,spot_led,simultaneous_impulse,not_applicable,1
2023,alt,PF_ALGOUSD,negative,spot_led,perp_led,spot_led_continuation,not_applicable,1
2023,alt,PF_ALGOUSD,negative,spot_led,simultaneous,spot_led_continuation,not_applicable,2
2023,alt,PF_ALGOUSD,negative,spot_led,spot_led,spot_led_continuation,not_applicable,28
2023,alt,PF_ALGOUSD,positive,ambiguous,perp_led,ambiguous_diagnostic,not_applicable,1
2023,alt,PF_ALGOUSD,positive,ambiguous,simultaneous,ambiguous_diagnostic,not_applicable,1
2023,alt,PF_ALGOUSD,positive,ambiguous,spot_led,ambiguous_diagnostic,not_applicable,4
2023,alt,PF_ALGOUSD,positive,perp_led,perp_led,perp_led_continuation,confirmed,2
2023,alt,PF_ALGOUSD,positive,perp_led,perp_led,perp_led_continuation,unconfirmed,2
2023,alt,PF_ALGOUSD,positive,perp_led,spot_led,perp_led_continuation,confirmed,2
2023,alt,PF_ALGOUSD,positive,perp_led,spot_led,perp_led_continuation,unconfirmed,1
2023,alt,PF_ALGOUSD,positive,simultaneous,perp_led,simultaneous_impulse,not_applicable,2
2023,alt,PF_ALGOUSD,positive,simultaneous,simultaneous,simultaneous_impulse,not_applicable,30
2023,alt,PF_ALGOUSD,positive,simultaneous,spot_led,simultaneous_impulse,not_applicable,7
2023,alt,PF_ALGOUSD,positive,spot_led,perp_led,spot_led_continuation,not_applicable,2
2023,alt,PF_ALGOUSD,positive,spot_led,spot_led,spot_led_continuation,not_applicable,21
2023,alt,PF_APEUSD,negative,simultaneous,simultaneous,simultaneous_impulse,not_applicable,1
2023,alt,PF_APEUSD,negative,spot_led,spot_led,spot_led_continuation,not_applicable,1
2023,alt,PF_ARBUSD,positive,simultaneous,simultaneous,simultaneous_impulse,not_applicable,1
2023,alt,PF_ATOMUSD,negative,ambiguous,perp_led,ambiguous_diagnostic,not_applicable,1
2023,alt,PF_ATOMUSD,negative,ambiguous,simultaneous,ambiguous_diagnostic,not_applicable,1
2023,alt,PF_ATOMUSD,negative,perp_led,perp_led,perp_led_continuation,confirmed,4
2023,alt,PF_ATOMUSD,negative,perp_led,perp_led,perp_led_continuation,unconfirmed,4
2023,alt,PF_ATOMUSD,negative,simultaneous,perp_led,simultaneous_impulse,not_applicable,4
2023,alt,PF_ATOMUSD,negative,simultaneous,simultaneous,simultaneous_impulse,not_applicable,46
2023,alt,PF_ATOMUSD,negative,spot_led,spot_led,spot_led_continuation,not_applicable,8
2023,alt,PF_ATOMUSD,positive,ambiguous,simultaneous,ambiguous_diagnostic,not_applicable,1
2023,alt,PF_ATOMUSD,positive,perp_led,perp_led,perp_led_continuation,confirmed,3
2023,alt,PF_ATOMUSD,positive,perp_led,perp_led,perp_led_continuation,unconfirmed,1
2023,alt,PF_ATOMUSD,positive,simultaneous,perp_led,simultaneous_impulse,not_applicable,6
2023,alt,PF_ATOMUSD,positive,simultaneous,simultaneous,simultaneous_impulse,not_applicable,35
2023,alt,PF_ATOMUSD,positive,simultaneous,spot_led,simultaneous_impulse,not_applicable,3
2023,alt,PF_ATOMUSD,positive,spot_led,perp_led,spot_led_continuation,not_applicable,1
2023,alt,PF_ATOMUSD,positive,spot_led,simultaneous,spot_led_continuation,not_applicable,2
2023,alt,PF_ATOMUSD,positive,spot_led,spot_led,spot_led_continuation,not_applicable,11
2023,alt,PF_AVAXUSD,negative,ambiguous,simultaneous,ambiguous_diagnostic,not_applicable,1
2023,alt,PF_AVAXUSD,negative,perp_led,perp_led,perp_led_continuation,confirmed,3
2023,alt,PF_AVAXUSD,negative,perp_led,perp_led,perp_led_continuation,unconfirmed,2
2023,alt,PF_AVAXUSD,negative,perp_led,simultaneous,perp_led_continuation,confirmed,1
2023,alt,PF_AVAXUSD,negative,simultaneous,perp_led,simultaneous_impulse,not_applicable,2
2023,alt,PF_AVAXUSD,negative,simultaneous,simultaneous,simultaneous_impulse,not_applicable,43
2023,alt,PF_AVAXUSD,negative,simultaneous,spot_led,simultaneous_impulse,not_applicable,3
2023,alt,PF_AVAXUSD,negative,spot_led,simultaneous,spot_led_continuation,not_applicable,1
2023,alt,PF_AVAXUSD,negative,spot_led,spot_led,spot_led_continuation,not_applicable,6
2023,alt,PF_AVAXUSD,positive,ambiguous,ambiguous,ambiguous_diagnostic,not_applicable,1
2023,alt,PF_AVAXUSD,positive,perp_led,perp_led,perp_led_continuation,confirmed,6
2023,alt,PF_AVAXUSD,positive,perp_led,perp_led,perp_led_continuation,unconfirmed,2
2023,alt,PF_AVAXUSD,positive,perp_led,spot_led,perp_led_continuation,confirmed,2
